Instructor ID,Course ID,Semester,Year,Broader,Level,Size,Layout,L,Ind,CG,WG,OG,S_Anq,SQ,WC,PRD,SP,TQ,S_W,S_O,Lec,RTW,FUP,T_PQ,CQ,T_ANQ,MG,ONE_O_ONE,DV,ADMIN,T_W,T_O,Cluster,Bcluster
396,527,post,NA,Biological,100,Large,Fixed,100,30.8,7.7,0,0,3.8,7.7,0,0,0,0,0,7.7,61.5,11.5,53.9,3.9,38.5,7.7,0,0,0,7.7,34.6,7.7,2,Mostly lecture
396,527,post,NA,Biological,100,Large,Fixed,100,40,12,0,4,12,4,0,0,0,0,0,0,52,20,64,24,44,4,0,0,0,0,52,0,4,Transitioning
398,528,pre,NA,Biological,300,Small,Table,97.1,0,14.3,0,0,20,5.7,0,0,0,0,11.4,0,77.1,42.9,20,25.7,20,5.7,0,0,0,0,14.3,0,2,Mostly lecture
398,528,pre,NA,Biological,300,Small,Table,100,0,0,0,6.3,62.5,9.4,0,0,0,0,3.1,0,90.6,56.3,9.4,62.5,0,9.4,6.3,3.1,0,9.4,0,0,3,Transitioning
398,529,post,NA,Biological,300,Small,Table,91.9,27,16.2,0,0,43.2,10.8,0,0,0,0,2.7,0,56.8,27,48.7,43.2,35.1,13.5,0,0,0,5.4,40.5,5.4,2,Mostly lecture
398,529,post,NA,Biological,300,Small,Table,85.3,14.7,5.9,0,26.5,26.5,2.9,0,0,0,0,0,0,64.7,14.7,29.4,29.4,14.7,2.9,23.5,29.4,0,0,23.5,0,7,High engagement
401,530,pre,NA,Biological,300,Large,Fixed,100,12,0,0,0,0,8,0,0,0,0,0,0,88,0,16,0,12,8,0,0,16,8,8,0,2,Mostly lecture
401,530,pre,NA,Biological,300,Large,Fixed,95.8,4.2,4.2,0,0,4.2,4.2,0,0,0,0,0,4.2,79.2,0,12.5,4.2,8.3,8.3,0,0,12.5,12.5,8.3,4.2,2,Mostly lecture
401,530,pre,NA,Biological,300,Large,Fixed,66.7,0,4.2,0,0,4.2,0,0,0,0,37.5,0,0,62.5,0,12.5,4.2,4.2,0,4.2,0,0,4.2,37.5,0,2,Mostly lecture
402,531,pre,NA,Biological,200,Large,Fixed,100,0,0,0,0,8.3,4.2,0,0,0,0,0,0,100,0,0,25,0,4.2,0,0,0,4.2,0,0,1,Mostly lecture
402,531,pre,NA,Biological,200,Large,Fixed,100,0,0,0,0,14.3,9.5,4.8,0,0,0,0,0,100,0,0,19.1,0,9.5,0,0,0,4.8,0,0,1,Mostly lecture
403,532,post,NA,Biological,200,Small,Fixed,100,0,0,0,0,7.7,7.7,0,0,0,0,0,0,96.2,0,0,7.7,0,7.7,0,0,0,7.7,0,0,1,Mostly lecture
403,532,post,NA,Biological,200,Small,Fixed,100,0,0,0,0,56.5,34.8,0,0,0,0,4.3,4.3,87,13,0,52.2,0,34.8,0,0,0,21.7,0,4.4,1,Mostly lecture
403,532,post,NA,Biological,200,Small,Fixed,100,0,40,0,0,28,32,0,0,0,0,0,0,80,52,48,32,40,36,0,0,0,4,36,0,2,Mostly lecture
403,533,pre,NA,Biological,200,Small,Fixed,100,0,12.5,0,0,29.2,20.8,0,0,0,0,0,8.3,75,75,25,33.3,20.8,25,0,0,0,0,8.3,8.3,2,Mostly lecture
403,533,pre,NA,Biological,200,Small,Fixed,100,0,0,0,8.3,12.5,29.2,0,0,0,0,0,0,79.2,87.5,25,12.5,0,33.3,0,0,0,12.5,8.3,0,3,Transitioning
403,533,pre,NA,Biological,200,Small,Fixed,100,0,0,0,4,28,8,0,0,0,12,0,0,96,8,16,28,0,8,0,0,0,0,12,0,3,Transitioning
404,534,pre,NA,Biological,100,Large,Fixed,92,0,36,0,0,0,24,0,0,0,0,0,0,44,56,28,0,36,36,0,0,0,4,36,0,2,Mostly lecture
404,534,pre,NA,Biological,100,Large,Fixed,100,0,12,0,0,0,8,0,0,0,0,0,0,88,96,16,0,12,8,0,0,0,4,12,0,2,Mostly lecture
404,534,pre,NA,Biological,100,Large,Fixed,96,0,12,0,0,8,0,0,0,0,0,0,0,84,84,16,4,16,0,0,0,0,0,12,0,2,Mostly lecture
405,535,pre,NA,Biological,300,Small,Table,55.6,0,0,0,50,47.2,2.8,0,0,0,0,0,0,27.8,27.8,25,47.2,0,2.8,27.8,30.6,0,0,50,0,3,Transitioning
405,535,pre,NA,Biological,300,Small,Table,65.8,0,0,34.2,0,23.7,13.2,0,0,0,0,0,0,65.8,60.5,0,23.7,0,13.2,23.7,29,0,2.6,13.2,0,6,High engagement
406,536,pre,NA,Biological,100,Large,Fixed,100,0,8,0,0,0,0,0,0,0,0,0,0,96,0,8,0,8,0,0,0,0,4,8,0,2,Mostly lecture
406,536,pre,NA,Biological,100,Large,Fixed,96,0,8,0,0,24,4,0,0,0,0,0,12,88,0,8,24,8,4,0,0,12,12,8,0,2,Mostly lecture
406,536,pre,NA,Biological,100,Large,Fixed,84,0,0,0,16,8,0,0,0,0,0,0,16,80,0,8,8,0,0,0,0,16,0,16,0,3,Transitioning
409,537,mid,NA,Biological,100,Large,Fixed,96.2,0,19.2,0,0,3.8,0,0,0,0,0,0,0,92.3,0,11.5,3.9,19.2,0,0,0,11.5,0,19.2,0,2,Mostly lecture
409,537,mid,NA,Biological,100,Large,Fixed,100,0,14.3,0,0,0,0,0,0,0,14.3,0,0,82.1,0,14.3,0,14.3,0,0,0,10.7,3.6,28.6,0,2,Mostly lecture
409,537,mid,NA,Biological,100,Large,Fixed,96,0,28,0,0,0,0,0,0,0,0,0,0,80,0,16,0,28,0,0,0,12,8,24,0,2,Mostly lecture
409,538,post,NA,Biological,100,Large,Fixed,100,0,8,0,0,0,4,0,0,0,0,0,0,96,0,8,0,8,4,0,0,44,4,8,0,2,Mostly lecture
409,538,post,NA,Biological,100,Large,Fixed,100,0,30.8,0,0,0,0,0,0,0,0,0,0,84.6,0,15.4,0,30.8,0,0,0,7.7,3.9,26.9,0,2,Mostly lecture
409,538,post,NA,Biological,100,Large,Fixed,88,0,4,16,12,20,0,0,0,0,0,0,0,80,0,4,20,4,0,8,8,0,4,16,0,7,High engagement
409,539,pre,NA,Biological,100,Large,Fixed,100,8.3,0,0,0,0,0,0,0,0,0,0,0,100,0,16.7,0,8.3,0,0,0,0,4.2,8.3,0,2,Mostly lecture
409,539,pre,NA,Biological,100,Large,Fixed,100,16,8,0,0,0,0,0,0,0,0,0,0,88,0,16,0,20,0,12,0,12,12,16,0,2,Mostly lecture
409,539,pre,NA,Biological,100,Large,Fixed,100,0,16,0,0,0,0,0,0,0,12,0,0,84,0,16,0,16,0,0,0,24,4,24,0,2,Mostly lecture
409,581,delayed,NA,Biological,100,Large,Fixed,100,0,23.1,0,0,0,3.8,0,0,0,0,0,0,96.2,0,23.1,0,19.2,3.8,0,0,3.8,7.7,15.4,0,2,Mostly lecture
409,581,delayed,NA,Biological,100,Large,Fixed,100,0,11.5,0,0,3.8,0,0,0,0,0,0,0,100,0,3.8,3.8,11.5,0,0,0,3.8,7.7,11.5,0,2,Mostly lecture
409,581,delayed,NA,Biological,100,Large,Fixed,100,0,23.1,0,0,0,0,0,0,0,0,0,0,88.5,0,23.1,0,23.1,0,3.8,0,0,3.8,15.4,0,2,Mostly lecture
410,540,post,NA,Biological,300,Medium,Table,97.4,25.6,0,0,0,35.9,23.1,0,0,0,0,5.1,2.6,74.4,0,35.9,41,23.1,23.1,0,0,0,7.7,25.6,7.7,2,Mostly lecture
410,540,post,NA,Biological,300,Medium,Table,94.7,0,10.5,13.2,0,34.2,10.5,0,2.6,0,0,0,5.3,73.7,36.8,26.3,34.2,10.5,10.5,0,2.6,5.3,2.6,21.1,0,5,High engagement
410,541,pre,NA,Biological,300,Medium,Fixed,97.4,0,0,0,0,15.4,46.2,0,0,0,0,0,2.6,97.4,0,0,18,0,41,0,0,0,0,0,2.6,1,Mostly lecture
410,541,pre,NA,Biological,300,Medium,Fixed,95.1,0,0,0,0,65.9,26.8,2.4,0,0,0,0,4.9,92.7,0,0,70.7,0,29.3,0,9.8,0,2.4,2.4,2.4,3,Transitioning
410,582,delayed,NA,Biological,400,NA,Fixed,100,0,0,0,0,0,3.1,0,0,0,0,0,0,100,34.4,3.1,3.1,0,6.3,0,0,12.5,3.1,0,0,1,Mostly lecture
