deid,subject,final_grade_percent,final_grade_letter,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,age,gender
9454390,biol,84.97,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Male
100639,biol,92.23151,A,4,4,4,4,4,4,4,4,3,4,18,Female
100441,biol,67.33828,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101377,biol,76.321,C,3,3,4,4,4,3,4,4,3,3,21,Female
9569515,phys,61.68,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female
102773,biol,84.71156,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,Male
9689322,biol,81.89,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Male
100340,biol,93,A,4,4,4,4,4,4,4,4,4,4,29,Female
103342,biol,87.61304,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9735795,biol,69.03,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Male
9706534,nurs,NA,NA,4,4,2,4,4,4,5,NA,5,4,19,Female
9664180,biol,84.32,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,Female
9795937,phys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA
9412336,biol,92.91,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Female
9748414,biol,93.8,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Male
9811003,math,51.71,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male
102570,biol,87.27,B,4,3,4,4,4,4,3,4,4,3,25,Female
9311519,biol,74.3,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Male
9707042,nurs,NA,NA,3,3,3,3,3,3,3,NA,4,4,19,Female
9143951,biol,71.61,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,Female
102110,biol,81.48,B,4,3,3,4,4,4,4,4,4,4,18,Male
9563566,biol,90.85,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Female
102855,biol,93.78285,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9726488,mats,80.39,B,5,4,3,4,5,5,4,NA,5,4,19,Female
100076,biol,97.8,A,4,3,3,3,4,4,3,3,3,4,19,Female
103306,biol,94.61537,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Male
NA,phys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,Male
9587140,csci,94.71,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female
9579111,biol,87.55,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,Male
100395,biol,98,A,5,4,5,5,5,5,5,4,5,5,21,Female
9456670,nurs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Female
9597588,csci,77.21,C,2,2,3,3,3,3,3,NA,3,3,20,Female
102284,biol,92.76,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9191855,biol,73.69,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,Female
9544804,csci,85.1,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female
102500,biol,85.1,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9745197,biol,90.29,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Male
9489288,biol,76.3,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Male
9379734,biol,71.4,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Male
9665919,biol,79.93,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Female
100673,biol,91.05,A,4,3,4,4,4,NA,3,4,4,4,18,Male
100941,biol,98,A,4,3,3,3,4,4,2,3,4,3,18,Male
9429531,biol,88.33,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Female
100826,biol,95.15,A,4,4,3,4,3,NA,3,4,5,3,18,Male
102079,biol,89.06,B,4,4,4,4,4,4,3,4,4,4,19,Female
9335604,biol,81.7,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Female
9796943,csci,95.75,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male
9326185,biol,89.55,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Female
9397354,biol,83.54,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Male
102668,biol,96.44,A,4,4,4,3,4,3,4,4,4,4,19,Female
9671684,biol,82.64,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Male
9722553,phys,60.99,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male
9751445,phys,NA,NA,5,4,4,4,4,4,4,NA,4,4,19,Female
9512858,biol,91.22,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Male
9723500,phys,66.94,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102645,biol,NA,NA,3,3,3,3,3,3,3,3,3,3,NA,Female
9721824,biol,83.85,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,Female
9416387,biol,89.18,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Male
9178160,biol,81.2,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,Male
101989,biol,80.1,B,3,2,4,3,3,4,3,3,3,3,21,Male
100441,biol,67.33828,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102906,biol,93.14197,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9265853,biol,93.69,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,Male
100090,biol,96.6,A,4,3,4,4,4,3,5,3,4,4,18,Female
9661664,biol,70.38,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,Male
101039,biol,92,A,4,3,3,3,4,3,4,4,4,4,19,Female
9348522,biol,76.74,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Male
NA,chem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9559057,nurs,NA,NA,5,5,4,4,5,4,4,NA,5,4,20,Female
9766534,biol,86.44,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,Female
9604755,biol,91.51,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Female
9774425,biol,83.7,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Male
9686292,phys,73.11,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female
9821857,phys,NA,NA,5,5,5,5,5,5,5,NA,5,5,18,Male
9647256,biol,79.63,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Female
9567344,biol,78.81,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Male
9783146,biol,34.82,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Female
9721278,biol,95.04,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Female
9716626,mats,79,C,4,3,3,3,4,5,4,NA,3,4,19,Female
102227,biol,65.3,D,2,1,1,1,2,1,2,1,2,1,21,Male
101292,biol,67.207,D,3,5,2,3,4,3,3,4,4,4,20,Female
102152,biol,83.03,B,2,2,3,3,3,3,3,4,2,4,19,Male
9398108,biol,74.08,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Male
101359,biol,89.102,B,5,5,4,5,5,5,5,4,5,5,18,Female
100087,biol,88.4,B,4,3,2,3,3,4,4,3,3,4,18,Female
9629162,biol,81.27,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Male
9416531,biol,71.91,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Female
9471770,biol,81.69,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Male
9791628,chem,83.1,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,Male
9646255,biol,89.76,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Male
100295,biol,96,A,4,4,4,4,4,4,4,4,4,4,20,Male
102217,biol,83,B,3,4,3,3,3,4,3,3,4,4,18,Male
8714200,biol,77.05,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,Female
9602041,biol,84.94,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Female
9238772,biol,69.18,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Male
9569874,phys,NA,NA,5,4,4,3,4,5,4,NA,5,5,19,Male
9697896,mats,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male
9327976,biol,73.9,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,Male
9163175,phys,68.15,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male
101077,biol,68,D,3,4,3,3,3,3,3,3,4,3,19,Female
100214,biol,98,A,5,3,2,3,4,4,4,3,5,5,22,Male
9827842,phys,80.69,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male
101155,biol,80,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100660,biol,85.15238,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9011545,phys,94.02,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female
9081797,csci,93.44,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male
100356,biol,85,B,4,3,3,4,3,3,4,4,4,4,25,Female
9784961,chem,94.37,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Male
9590446,biol,90.06,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Female
9582691,biol,77.83,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Female
9143087,biol,78.89,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Male
